candidate_id,pixel_x,pixel_y,ra_hours,dec_degrees,infrared_flux,estimated_magnitude,data_source,filter,wavelength_um,temperature_k,analysis_status
Predicted_Region_A_MIRI_1,505,10,2.999985740740741,-20.015338888888888,902.20984,22.11173,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_2,893,28,3.000776111111111,-20.014788888888887,897.83984,22.117002,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_3,905,37,3.0008005555555557,-20.01451388888889,893.12103,22.122725,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_4,583,48,3.0001446296296295,-20.01417777777778,894.68695,22.120823,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_5,796,57,3.0005785185185183,-20.013902777777776,892.54565,22.123425,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_6,831,65,3.000649814814815,-20.013658333333332,894.2385,22.121367,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_7,673,72,3.000327962962963,-20.013444444444445,896.3914,22.118755,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_8,899,82,3.0007883333333334,-20.01313888888889,895.60754,22.119705,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_9,403,88,2.999777962962963,-20.012955555555557,890.4884,22.125929,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_10,480,94,2.999934814814815,-20.01277222222222,890.1205,22.126377,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_11,774,96,3.0005337037037036,-20.012711111111113,889.9833,22.126545,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_12,921,102,3.000833148148148,-20.012527777777777,900.9035,22.113304,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_13,931,109,3.0008535185185186,-20.01231388888889,890.9696,22.125343,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_14,837,114,3.000662037037037,-20.012161111111112,894.6827,22.120827,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_15,876,118,3.0007414814814815,-20.01203888888889,897.5152,22.117395,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_16,761,122,3.000507222222222,-20.011916666666668,890.33405,22.126118,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_17,757,124,3.000499074074074,-20.011855555555556,891.261,22.124989,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_18,685,130,3.0003524074074073,-20.011672222222224,892.5879,22.123373,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_19,623,134,3.000226111111111,-20.01155,893.64325,22.12209,miri_infrared,F2550W,25.5,115,infrared_detection
Predicted_Region_A_MIRI_20,657,136,3.0002953703703703,-20.011488888888888,891.3385,22.124893,miri_infrared,F2550W,25.5,115,infrared_detection
